Tempo total; Inicialização; Finalização; Processamento
0,862000;0,003000;0,000000;0,859000
0,712000;0,002000;0,000000;0,710000
0,875000;0,000000;0,000000;0,875000
0,694000;0,002000;0,000000;0,692000

0,824000;0,003000;0,000000;0,821000
1,415000;0,001000;0,001000;1,413000
1,000000;0,000000;0,000000;1,000000
0,943000;0,000000;0,001000;0,942000

0,412000;0,000000;0,000000;0,412000
0,468000;0,000000;0,000000;0,468000
0,429000;0,000000;0,000000;0,429000
0,506000;0,001000;0,000000;0,505000

0,347000;0,000000;0,009000;0,338000
0,502000;0,000000;0,000000;0,502000
0,331000;0,002000;0,000000;0,329000
0,377000;0,002000;0,000000;0,375000

0,286000;0,008000;0,000000;0,278000
0,330000;0,000000;0,002000;0,328000
0,282000;0,000000;0,000000;0,282000
0,420000;0,009000;0,004000;0,407000
